SL,State/UT,2019,2020,2021
1,Andhra Pradesh,9,0,0
2,Arunachal Pradesh,0,0,0
3,Assam,15,4,0
4,Bihar,1,0,0
5,Chhattisgarh,0,1,0
6,Goa,21,11,10
7,Gujarat,5,3,1
8,Haryana,19,4,6
9,Himachal Pradesh,6,2,10
10,Jharkhand,3,0,1
11,Karnataka,46,19,27
12,Kerala,15,7,15
13,Madhya Pradesh,13,3,6
14,Maharashtra,48,24,8
15,Manipur,0,0,0
16,Meghalaya,0,0,0
17,Mizoram,1,0,1
18,Nagaland,0,0,0
19,Odisha,0,0,0
20,Punjab,10,1,1
21,Rajasthan,16,4,2
22,Sikkim,0,0,1
23,Tamil Nadu,23,28,16
24,Telangana,2,7,15
25,Tripura,0,0,0
26,Uttar Pradesh,21,5,0
27,Uttarakhand,2,4,1
28,West Bengal,1,0,0
,TOTAL STATE(S),277,127,121
29,A&N Islands,3,0,0
30,Chandigarh,0,1,2
31,D&N Haveli and Daman & Diu,0,0,0
32,Delhi,123,62,27
,Jammu & Kashmir,1,1,0
,Ladakh,-,0,0
35,Lakshadweep,0,0,0
36,Puducherry,0,0,0
,TOTAL UT(S),127,64,29
,TOTAL ALL INDIA,404,191,150
